,num_groups,num_instrs,max_instrs,min_instrs,avg_instrs,min_ii,max_ii,avg_ii,min_lat,max_lat,avg_lat,total_area_estimate,total_area_estimate_with_lifetimes,Variant idx,Variant name,Variant description,Variant details
0,3,3,1,1,1.0,1,1,1.0,3,3,3.0,369.0,369.0,0,V0,all:0,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3})"
1,3,3,1,1,1.0,1,1,1.0,3,4,3.3333333333333335,369.0,369.0,1,V1,all:1,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=1, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})"
2,3,3,1,1,1.0,1,2,1.3333333333333333,3,4,3.3333333333333335,369.0,369.0,2,V2,all:2,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=1, lats={CUSTOM5: 1}, full_lats={CUSTOM5: 3}), SG3(II=2, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})"
3,3,3,1,1,1.0,1,1,1.0,3,4,3.3333333333333335,369.0,369.0,3,V3,all:3,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=1, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3})"
4,3,3,1,1,1.0,1,1,1.0,3,4,3.6666666666666665,369.0,369.0,4,V4,all:4,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=1, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=1, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})"
5,3,3,1,1,1.0,1,2,1.3333333333333333,3,4,3.6666666666666665,369.0,369.0,5,V5,all:5,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=1, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=2, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})"
6,3,3,1,1,1.0,1,2,1.3333333333333333,3,4,3.3333333333333335,369.0,369.0,6,V6,all:6,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=2, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3})"
7,3,3,1,1,1.0,1,2,1.3333333333333333,3,4,3.6666666666666665,369.0,369.0,7,V7,all:7,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=2, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=1, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})"
8,3,3,1,1,1.0,1,2,1.6666666666666667,3,4,3.6666666666666665,369.0,369.0,8,V8,all:8,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=2, lats={CUSTOM5: 2}, full_lats={CUSTOM5: 4}), SG3(II=2, lats={CUSTOM18: 2}, full_lats={CUSTOM18: 4})"
9,3,3,1,1,1.0,1,1,1.0,3,5,3.6666666666666665,369.0,369.0,9,V9,all:9,"SG1(II=1, lats={CUSTOM3: 1}, full_lats={CUSTOM3: 3}), SG2(II=1, lats={CUSTOM5: 3}, full_lats={CUSTOM5: 5}), SG3(II=1, lats={CUSTOM18: 1}, full_lats={CUSTOM18: 3})"
